,jobid,electron_threshold,electron_softmax,primary_softmax,vertex_threshold,muon_threshold,signal_count,background_count,signal_count_all,purity,efficiency,f1_score,sensitivity
181,181,350.0,0.6,,5.0,0.0,240,55,331,0.8135593220338984,0.7250755287009063,0.7667731629392972,13.973340233749969
182,182,500.0,,0.8,5.0,0.0,207,44,274,0.8247011952191236,0.7554744525547445,0.7885714285714287,13.065724144124525
183,183,350.0,0.8,,3.0,50.0,208,39,331,0.8421052631578947,0.6283987915407855,0.7197231833910034,13.234723069896177
184,184,0.0,0.8,0.95,5.0,,273,69,409,0.7982456140350878,0.6674816625916871,0.7270306258322238,14.762149322899392
185,185,100.0,0.6,,3.5,25.0,299,93,403,0.7627551020408163,0.7419354838709677,0.7522012578616352,15.10178054105555
186,186,250.0,,0.9,5.0,50.0,272,75,366,0.7838616714697406,0.7431693989071039,0.7629733520336606,14.601725056984517
187,187,225.0,,,5.0,25.0,280,81,379,0.775623268698061,0.7387862796833773,0.7567567567567568,14.736842105263158
188,188,100.0,0.6,,4.0,,304,115,403,0.7255369928400954,0.7543424317617866,0.7396593673965935,14.851371849879358
189,189,250.0,,0.99,3.5,25.0,261,60,366,0.8130841121495327,0.7131147540983607,0.7598253275109169,14.567599434053232
190,190,350.0,0.8,0.8,5.0,50.0,214,45,331,0.8262548262548263,0.6465256797583081,0.7254237288135593,13.297312992425681
191,191,0.0,0.8,0.8,2.0,,253,86,409,0.7463126843657817,0.6185819070904646,0.676470588235294,13.741073798817283
192,192,400.0,0.9,0.9,,50.0,182,46,317,0.7982456140350878,0.5741324921135647,0.6678899082568808,12.053244449291899
193,193,250.0,,0.95,4.0,0.0,267,69,366,0.7946428571428571,0.7295081967213115,0.7606837606837608,14.566044173252491
194,194,100.0,0.9,0.99,,50.0,234,48,403,0.8297872340425532,0.5806451612903226,0.6832116788321168,13.93449721970468
195,195,200.0,0.9,0.99,2.0,50.0,196,28,386,0.875,0.5077720207253886,0.6426229508196721,13.095800853708795
196,196,200.0,,0.99,5.0,10.0,282,65,386,0.8126801152737753,0.7305699481865285,0.7694406548431105,15.138553184079536
197,197,400.0,,,4.0,100.0,226,53,317,0.8100358422939068,0.7129337539432177,0.7583892617449666,13.530266086017042
198,198,400.0,0.7,,,0.0,234,72,317,0.7647058823529411,0.7381703470031545,0.7512038523274479,13.37688964111569
199,199,350.0,,0.99,4.0,50.0,236,52,331,0.8194444444444444,0.7129909365558912,0.7625201938610662,13.906433363335436
200,200,100.0,,0.99,3.5,100.0,287,76,403,0.790633608815427,0.7121588089330024,0.7493472584856395,15.063593387038418
201,201,400.0,0.6,0.8,,10.0,245,75,317,0.765625,0.7728706624605678,0.7692307692307692,13.695916362186212
202,202,100.0,0.6,,2.0,0.0,273,81,403,0.7711864406779662,0.6774193548387096,0.7212681638044914,14.509786294259635
203,203,200.0,0.8,0.9,5.0,0.0,255,47,386,0.8443708609271523,0.6606217616580311,0.7412790697674418,14.673601110035118
204,204,200.0,0.7,0.8,2.0,0.0,248,48,386,0.8378378378378378,0.6424870466321243,0.7272727272727273,14.414707204233592
205,205,350.0,0.8,,5.0,0.0,214,45,331,0.8262548262548263,0.6465256797583081,0.7254237288135593,13.297312992425681
206,206,250.0,0.9,0.8,5.0,50.0,200,36,366,0.847457627118644,0.546448087431694,0.6644518272425248,13.018891098082387
207,207,500.0,0.9,,3.0,100.0,147,30,274,0.8305084745762712,0.5364963503649635,0.6518847006651884,11.049196611641584
208,208,250.0,0.7,0.8,4.0,50.0,251,58,366,0.8122977346278317,0.6857923497267759,0.7437037037037038,14.278891112113213
209,209,400.0,0.8,0.9,,50.0,216,59,317,0.7854545454545454,0.6813880126182965,0.7297297297297297,13.025290085759387
210,210,500.0,0.7,0.99,4.0,25.0,187,39,274,0.827433628318584,0.6824817518248175,0.7479999999999999,12.439054967945726
211,211,300.0,0.9,0.99,3.5,0.0,187,30,351,0.8617511520737328,0.5327635327635327,0.6584507042253521,12.694387162749845
212,212,250.0,0.9,,5.0,100.0,201,37,366,0.8445378151260504,0.5491803278688525,0.6655629139072848,13.028894843398504
213,213,225.0,0.8,0.8,4.0,0.0,240,46,379,0.8391608391608392,0.633245382585752,0.7218045112781956,14.191497503737983
214,214,400.0,0.6,0.9,,100.0,246,76,317,0.7639751552795031,0.7760252365930599,0.7699530516431925,13.709044029353679
215,215,250.0,0.6,,3.0,0.0,260,59,366,0.8150470219435737,0.7103825136612022,0.7591240875912408,14.557205284852213
216,216,0.0,0.9,0.99,,0.0,234,50,409,0.823943661971831,0.5721271393643031,0.6753246753246752,13.885345400868083
